Filing Date,Document Type,Filed By,Description
"December 14, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=521833477""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2312032 - Decision Granting Compensation To Small Business Utility Advocates For Substantial Contribution To Decision 21-12-033.
"December 14, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=521532455""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2312031 - Decision Granting Compensation To Small Business Utility Advocates For Substantial Contribution To Decision 22-11-040.
"December 13, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=521479812""><span style=""color:blue""><u>RULING</u></span></a>",ALJ/POIRIER/CPUC,EMAIL RULING SUSPENDING SCHEDULE OF TIER 2 ADVICE LETTER ORDERED IN RESOLUTION E-5247.  The Commission will provide further instructions as well as a new due date for the Joint Tier 2 Advice Letter in January 2024.
"November 30, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=521288818""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2311110 - Decision Granting Intervenor Compensation To Utility Consumers' Action Network For Contributions To Decision 22-11-040.
"November 17, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=520913368""><span style=""color:blue""><u>PETITION FOR MODIFICATION</u></span></a>","Energy Producers and Users Coalition,California Large Energy Consumers Association",JOINT PETITION FOR MODIFICATION OF DECISION 22-11-040
"November 13, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=520772856""><span style=""color:blue""><u>RULING</u></span></a>",ALJ/POIRIER/CPUC,EMAIL RULING DELAYING THE TIMING OF THE VEHICLE-GRID INTEGRATION (VGI) FORUMS ORDERED IN D.22-11-040
"November 02, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=520717229""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2311009 - Decision Modifying Decision 22-11-040. Rulemaking 18-12-006 remains open.
"October 30, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=520650614""><span style=""color:blue""><u>REPORT</u></span></a>","Bear Valley Electric Service, Inc.,Pacificorp,Pacific Gas and Electric Company,Southern California Edison Company,San Diego Gas & Electric Company,Liberty Utilities (Calpeco Electric) LLC",Compliance filing pursuant to Ordering Paragraph 6 in Resolution E-5247 and E- mail Ruling Setting Workshop on Electric Vehicle Charging Infrastructure Service Energization Process.
"October 24, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=520613963""><span style=""color:blue""><u>RULING</u></span></a>",ALJ/POIRIER/CPUC,ADMINISTRATIVE LAW JUDGES RULING REGARDING MOTION FOR CLARIFICATION
"October 02, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=520522169""><span style=""color:blue""><u>NOTICE</u></span></a>",San Diego Community Power,NOTICE OF SUBSTITUTION OF COUNSEL
"September 25, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=520482362""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>","San Diego Gas & Electric Company,Pacific Gas and Electric Company,Southern California Edison Company",JOINT WORKSHOP REPORT ON PLUG-IN ELECTRIC VEHICLE SUBMETERING  
"September 15, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=520418912""><span style=""color:blue""><u>LAW & MOTION</u></span></a>",San Diego Gas & Electric Company,MOTION FOR LEAVE TO FILE CONFIDENTIAL COMPLIANCE FILING UNDER SEAL
"September 15, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=520433771""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",Pacific Gas and Electric Company,(PUBLIC VERSION) Vehicle-Grid Integration Strategies Semi-Annual Report for September 2023.
"September 15, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=520418911""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",San Diego Gas & Electric Company,[PUBLIC VERSION] VEHICLE GRID INTEGRATION ACTIVITIES MID-TERM REPORT FOR 2023
"September 15, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=520107311""><span style=""color:blue""><u>LAW & MOTION</u></span></a>",Pacific Gas and Electric Company,(PUBLIC VERSION) Vehicle-Grid Integration Strategies Semi-Annual Report for September 2023.
"September 15, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=520433748""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",Southern California Edison Company,"MID-TERM REPORT ON VEHICLE-GRID INTEGRATION STRATEGIES, PROGRAMS AND PILOTS METRICS"
"September 14, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=520469503""><span style=""color:blue""><u>RULING</u></span></a>",ALJ/POIRIER/CPUC,"EMAIL RULING SETTING WORKSHOP ON ELECTRIC VEHICLE CHARGING INFRASTRUCTURE SERVICE ENERGIZATION PROCESS. This e-mail ruling provide notice that Energy Division staff will host a public workshop on Friday, September 29, 2023. We also direct the investor-owned utilities (IOUs) to file a workshop report service list within 30 days of the workshop."
"June 28, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=512707481""><span style=""color:blue""><u>REQUEST</u></span></a>",Natural Resources Defense Council,for intervenor compensation for contribution to D22-11-040
"June 26, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=512538925""><span style=""color:blue""><u>RESPONSE</u></span></a>","Pacific Gas and Electric Company,San Diego Gas & Electric Company",Response on Petition for Modification of Decision 22-11-040 of Southern California Edison Company.
"June 22, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=512123337""><span style=""color:blue""><u>RESPONSE</u></span></a>",Cal Advocates/Gibbs/CPUC,Response to Southern California Eison Company Motion for Clarification of Decision 222-08-024 and Decision 22-11-040.
"June 22, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=512142587""><span style=""color:blue""><u>RESPONSE</u></span></a>",San Diego Gas & Electric Company,RESPONSE TO MOTION FOR CLARIFICATION OF DECISION 22-08-024 AND DECISION 22-11-040
"June 08, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=511552326""><span style=""color:blue""><u>DECISION</u></span></a>",,"Decision D2306018 - Decision Granting Compensation To Green Power Institute For Substantial Contribution To Decision (D). 20-09-025, D.20-12-027, D.20-12-029, And D.21-07-028."
"June 07, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=510851125""><span style=""color:blue""><u>MOTION</u></span></a>",Southern California Edison Company,MOTION FOR CLARIFICATION OF DECISION 22-08-024 AND DECISION 22-11-040 
"May 26, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=509788937""><span style=""color:blue""><u>RULING</u></span></a>",ALJ/RIZZO/CPUC,EMAIL RULING GRANTING THE MOTION FOR PARTY STATUS OF GRIDTRACTOR INC
"May 25, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=509774455""><span style=""color:blue""><u>PETITION FOR MODIFICATION</u></span></a>",Southern California Edison Company,Petition for Modification of Decision (D.) 22-11-040.
"May 25, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=509544260""><span style=""color:blue""><u>MOTION</u></span></a>",Gridtractor Inc.,"MOTION FOR PARTY STATUS OF GRIDTRACTOR INC. MFPS GRANTED via E-mail Ruling Issued by ALJ Colin Rizzo on May 26, 2023."
"May 12, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=508571473""><span style=""color:blue""><u>REQUEST</u></span></a>",Green Power Institute,AMENDED; for intervenor compensation for contribution to D22-11-040
"May 01, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=507816318""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>","LIBERTY UTILITIES (CALPECO ELECTRIC) LLC,PACIFICORP,BEAR VALLEY ELECTTRIC SERVICE, INC.",Joint Compliance Filing pursuant to Ordering Paragraph 9 of Resolution E-5168.
"April 03, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=506170075""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>","San Diego Gas & Electric Company,Southern California Edison Company,Pacific Gas and Electric Company",JOINT COMPLIANCE FILING PURSUANT TO ORDERING PARAGRAPH 2 OF DECISION 16-06-011
"March 17, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=503824101""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>","San Diego Gas & Electric Company,Pacific Gas and Electric Company,Southern California Edison Company","Updated D. 20-12-019 Annual Stocktake Report by Pacific Gas and Electric Company, San Diego Gas & Electric Company, and Southern California Edison Company (original report previously filed on 3/15/2023)."
"March 16, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=504201197""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2303043 - Decision Granting Compensation To Utility Consumers' Action Network For Substantial Contribution To Decision (D.) 20-12-029 And D.21-07-028.
"March 15, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=503589008""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",Pacific Gas and Electric Company,VEHICLE GRID INTEGRATION REPORT 
"March 15, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=503589567""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",Southern California Edison Company,VEHICLE-GRID INTEGRATION STRATEGIES ANNUAL REPORT FOR 2022
"March 15, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=503589457""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",Valley Clean Energy Alliance,ANNUAL VEHICLE GRID INTEGRATION REPORT
"March 15, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=503589007""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>","Southern California Edison Company,Pacific Gas and Electric Company,San Diego Gas & Electric Company",ANNUAL STOCKTAKE REPORT PURSUANT TO D.20-12-029
"March 15, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=503824945""><span style=""color:blue""><u>REPORT</u></span></a>",San Diego Gas & Electric Company,VEHICLE GRID INTEGRATION ACTIVITIES ANNUALREPORT FOR 2022.
