Filing Date,Document Type,Filed By,Description
"November 18, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=424113819""><span style=""color:blue""><u>COMMENTS</u></span></a>","Leadership Counsel for Justice and Accountability,The Greenlining Institute,California Environmental Justice Alliance","OPENING COMMENTS OF THE CALIFORNIA ENVIRONMENTAL JUSTICE ALLIANCE, LEADERSHIP COUNSEL FOR JUSTICE AND ACCOUNTABILITY AND THE GREENLINING INSTITUTE ON ASSIGNED COMMISSIONER’S RULING SEEKING COMMENTS AND NOTICING WORKSHOP ON STRATEGIES TO ENHANCE COMMUNITY BASED ORGANIZATION SUPPORT FOR CUSTOMERS TO ACCESS COVID-19 RELIEF"
"November 18, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=424114167""><span style=""color:blue""><u>COMMENTS</u></span></a>",Cal Advocates/Merza/CPUC,Opening Comments on Assigned Commissioner Ruling Seeking Comments and Noticing Workshop on Strategies to Enhance Community Based Organization Support for Customers to Access COVID-19 Relief
"November 18, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=424114712""><span style=""color:blue""><u>COMMENTS</u></span></a>",The Utility Reform Network,OPENING COMMENTS OF THE UTILITY REFORM NETWORK ON THE ASSIGNED COMMISSIONER’S RULING SEEKING COMMENTS AND NOTICING WORKSHOP ON STRATEGIES TO ENHANCE COMMUNITY BASED ORGANIZATION SUPPORT FOR CUSTOMERS TO ACCESS COVID-19 RELIEF
"November 18, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=425516569""><span style=""color:blue""><u>COMMENTS</u></span></a>",San Diego Gas & Electric Company,OPENING COMMENTS ON A PROPOSAL AND QUESTIONS IN ATTACHMENT B OF ASSIGNED COMMISSIONER’S RULING SEEKING COMMENTS AND NOTICING WORKSHOP ON STRATEGIES TO ENHANCE COMMUNITY BASED ORGANIZATION SUPPORT FOR CUSTOMERS TO ACCESS COVID-19 RELIEF 
"November 18, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=424114267""><span style=""color:blue""><u>COMMENTS</u></span></a>",CENTER FOR ACCESSIBLE TECHNOLOGY,CENTER FOR ACCESSIBLE TECHNOLOGY’S COMMENTS ON CBO RULING
"November 09, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=422280715""><span style=""color:blue""><u>COMMENTS</u></span></a>",CALIFORNIA COMMUNITY CHOICE ASSOCIATION,Reply comments of California Community Choice Association on the Proposed Decision directing allocation of payment of past-due bills between Investor-Owned Utilities and Community Choice Aggregators.
"November 04, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=420303809""><span style=""color:blue""><u>COMMENTS</u></span></a>",Southern California Edison Company,Opening comments on Administrative Law Judge Watts-Zagha’s Proposed Decision directing allocation of payment on past-due bills between Investor-Owned Utilities and Community Choice Aggregators.
"November 04, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=421055880""><span style=""color:blue""><u>COMMENTS</u></span></a>",CALIFORNIA COMMUNITY CHOICE ASSOCIATION,Comments on the Proposed Decision directing allocation of payment on past-due bills between Investor-Owned Utilities and Community Choice Aggregators.
"November 03, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=422280714""><span style=""color:blue""><u>COMMENTS</u></span></a>",Pacific Gas and Electric Company,Pacific Gas and Electric Company’s opening comments on the Proposed Decision directing allocation of payment of past-due bills between Investor-Owned Utilities and Community Choice Aggregators.
"November 01, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=420328526""><span style=""color:blue""><u>EXPARTE</u></span></a>",COMMR HOUCK/ADVISOR/CPUC,"DECISIONMAKER NOTICE OF EX PARTE COMMUNICATION. Commissioner Darcie Houck; Kathleen Yip, Energy Advisor; Commissioner Martha Guzman Aceves; Jonathan Koltz, Chief of Staff; Sarah Sharpe, Sr. Advisor – Ext. Affairs; Justin For Advisor log an ex parte meeting with Joint Utilities/Joint IOU’s on October 8, 2021 at 3:00 pm."
